Indicator,Type,Source
amdave64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amd_comgr32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
vulkan-1-999-0-0-0.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amfrt64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdsacli32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
slui.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
RapidFireServer64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdfendrsr.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
MusNotification.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdpcom32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdlogum.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdxc32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdgfxinfo64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amd_comgr.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atidxx64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
GameManager64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
LightBurn-v1.6.00.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
vulkan-1.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdadlx32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
Rapidfire64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
dllhost.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atisamu64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
dgtrayicon.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
SystemSettings.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
msedge.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amf-mft-mjpeg-decoder32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
ImagR-2.1.2-x64.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atieah32.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
MsSense.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
OpenCL.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
FileCoAuth.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
ati2erec.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atiesrxx.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atieah64.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdhip64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atigktxx.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdmiracast.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
explorer.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
svchost.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atidxx32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atig6txx.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
KeePass-2.58.zip,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atimuixx.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdgfxinfo32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdpcom64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
aida64extreme760.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdlvr32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
MpDefenderCoreService.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
MsMpEng.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atidemgy.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
RapidFireServer.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atimpc32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdave32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
EEURestart.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
ventoy-1.1.05-windows.zip,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
Rapidfire.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
vulkaninfo.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdmmcl.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdsasrv64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
NisSrv.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amd_comgr_2.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
MpCmdRun.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atimpc64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdadlx64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amf-mft-mjpeg-decoder64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
services.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atisamu32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdlvr64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdmmcl6.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
vulkaninfo-1-999-0-0-0.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdxc64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atieclxx.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
routerlogin.net,Domain,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
bleepingcomputer.com,Domain,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
regid.1991-06.com.microsoft,Domain,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdxc64.so,Domain,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
microsoft.windows,Domain,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
imgur.com,Domain,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
untapped.gg,Domain,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
3.2.1.0,IPv4,https://thehackernews.com/2025/07/hard-coded-credentials-found-in-hpe.html
CVE-2025-37102,CVE,https://thehackernews.com/2025/07/hard-coded-credentials-found-in-hpe.html
CVE-2025-37103,CVE,https://thehackernews.com/2025/07/hard-coded-credentials-found-in-hpe.html
asp.net,Domain,https://thehackernews.com/2025/07/microsoft-releases-urgent-patch-for.html
CVE-2025-53770,CVE,https://thehackernews.com/2025/07/microsoft-releases-urgent-patch-for.html
CVE-2025-49706,CVE,https://thehackernews.com/2025/07/microsoft-releases-urgent-patch-for.html
CVE-2025-49704,CVE,https://thehackernews.com/2025/07/microsoft-releases-urgent-patch-for.html
CVE-2025-53771,CVE,https://thehackernews.com/2025/07/microsoft-releases-urgent-patch-for.html
asp.net,Domain,https://thehackernews.com/2025/07/microsoft-links-ongoing-sharepoint.html
CVE-2025-49706,CVE,https://thehackernews.com/2025/07/microsoft-links-ongoing-sharepoint.html
CVE-2025-49704,CVE,https://thehackernews.com/2025/07/microsoft-links-ongoing-sharepoint.html
CVE-2025-53770,CVE,https://thehackernews.com/2025/07/microsoft-links-ongoing-sharepoint.html
CVE-2025-53771,CVE,https://thehackernews.com/2025/07/microsoft-links-ongoing-sharepoint.html
PuTTY.exe,Filename,https://thehackernews.com/2025/07/hackers-use-github-repositories-to-host.html
CVE-2024-13974,CVE,https://thehackernews.com/2025/07/sophos-and-sonicwall-patch-critical-rce.html
CVE-2024-13973,CVE,https://thehackernews.com/2025/07/sophos-and-sonicwall-patch-critical-rce.html
CVE-2025-6704,CVE,https://thehackernews.com/2025/07/sophos-and-sonicwall-patch-critical-rce.html
CVE-2025-7624,CVE,https://thehackernews.com/2025/07/sophos-and-sonicwall-patch-critical-rce.html
CVE-2025-7382,CVE,https://thehackernews.com/2025/07/sophos-and-sonicwall-patch-critical-rce.html
CVE-2025-40599,CVE,https://thehackernews.com/2025/07/sophos-and-sonicwall-patch-critical-rce.html
horizon3.ai,Domain,https://thehackernews.com/2022/10/fortinet-warns-of-active-exploitation.html
CVE-2022-40684,CVE,https://thehackernews.com/2022/10/fortinet-warns-of-active-exploitation.html
CVE-2018-13379,CVE,https://thehackernews.com/2022/10/fortinet-warns-of-active-exploitation.html
CVE-2021-42299,CVE,https://thehackernews.com/2021/10/microsoft-warns-of-new-security-flaw.html
xss.is,Domain,https://thehackernews.com/2025/07/europol-arrests-xss-forum-admin-in-kyiv.html
thesecure.biz,Domain,https://thehackernews.com/2025/07/europol-arrests-xss-forum-admin-in-kyiv.html
47.55.114.180,IPv4,https://www.darkreading.com/cloud-security/senior-executives-targeted-ongoing-azure-account-takeover
darkreading.com,Domain,https://www.darkreading.com/cloud-security/senior-executives-targeted-ongoing-azure-account-takeover
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/security/google-play-apps-with-25m-installs-load-ads-when-screens-off/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/security/google-play-apps-with-25m-installs-load-ads-when-screens-off/
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/security/google-play-apps-with-25m-installs-load-ads-when-screens-off/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/security/exploit-released-for-fortra-goanywhere-mft-auth-bypass-bug/
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/security/exploit-released-for-fortra-goanywhere-mft-auth-bypass-bug/
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/security/exploit-released-for-fortra-goanywhere-mft-auth-bypass-bug/
CVE-2023-0669,CVE,https://www.bleepingcomputer.com/news/security/exploit-released-for-fortra-goanywhere-mft-auth-bypass-bug/
CVE-2024-0204,CVE,https://www.bleepingcomputer.com/news/security/exploit-released-for-fortra-goanywhere-mft-auth-bypass-bug/
2.6.35.12,IPv4,https://thehackernews.com/2011/04/distribution-release-systemrescuecd-210.html
2.6.38.2,IPv4,https://thehackernews.com/2011/04/distribution-release-systemrescuecd-210.html
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/security/hackers-breach-toptal-github-account-publish-malicious-npm-packages/
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/security/hackers-breach-toptal-github-account-publish-malicious-npm-packages/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/security/hackers-breach-toptal-github-account-publish-malicious-npm-packages/
Nagini.exe,Filename,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
Cryptolocker.pdb,Filename,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
a1b0c47cc5d2ecb8ea634f436764c0b17c8ed59cc144739c77c069970642a102.exe,Filename,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
bleepingcomputer.com,Domain,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
a1b0c47cc5d2ecb8ea634f436764c0b17c8ed59cc144739c77c069970642a102,SHA256,https://www.bleepingcomputer.com/news/security/the-nagini-ransomware-sics-voldemort-on-your-files/
https://deadbolt.responders.nu/,URL,https://www.bleepingcomputer.com/news/security/police-tricks-deadbolt-ransomware-out-of-155-decryption-keys/
deadbolt.responders.nu,Domain,https://www.bleepingcomputer.com/news/security/police-tricks-deadbolt-ransomware-out-of-155-decryption-keys/
responders.nu,Domain,https://www.bleepingcomputer.com/news/security/police-tricks-deadbolt-ransomware-out-of-155-decryption-keys/
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/security/police-tricks-deadbolt-ransomware-out-of-155-decryption-keys/
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/security/police-tricks-deadbolt-ransomware-out-of-155-decryption-keys/
eadbolt.responders.nu,Domain,https://www.bleepingcomputer.com/news/security/police-tricks-deadbolt-ransomware-out-of-155-decryption-keys/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/security/police-tricks-deadbolt-ransomware-out-of-155-decryption-keys/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/microsoft/microsoft-investigates-outage-affecting-microsoft-365-admin-center/
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/microsoft/microsoft-investigates-outage-affecting-microsoft-365-admin-center/
admin.microsoft.com,Domain,https://www.bleepingcomputer.com/news/microsoft/microsoft-investigates-outage-affecting-microsoft-365-admin-center/
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/microsoft/microsoft-investigates-outage-affecting-microsoft-365-admin-center/
harmonic.security,Domain,https://thehackernews.com/2025/07/overcoming-risks-from-chinese-genai.html
